Age,Gender,Exercise Level,Diet Type,Sleep Hours,Work Hours per Week,Screen Time per Day (Hours),Social Interaction Score,Happiness Score,Stress Level
44,Female,Low,Balanced,8.0,56,6.5,7.5,1.4,Moderate
45,Female,Moderate,Vegan,5.1,26,6.1,3.1,6.1,High
39,Male,High,Balanced,5.3,31,2.8,9.8,2.1,Low
31,Other,Moderate,Balanced,5.8,57,5.0,7.0,3.8,High
24,Male,Moderate,Keto,9.9,22,6.7,5.1,7.0,High
54,Female,Low,Junk Food,8.0,45,3.3,2.4,2.4,High
39,Female,High,Junk Food,8.9,49,7.2,5.8,3.8,High
22,Other,Moderate,Junk Food,3.8,51,2.3,2.5,7.3,Moderate
19,Male,Low,Vegan,4.6,55,6.7,4.9,6.9,Low
44,Female,Low,Keto,8.5,56,5.7,4.7,1.8,Low
38,Other,Moderate,Keto,3.9,37,3.9,7.5,6.2,Low
55,Male,Low,Junk Food,5.5,20,6.3,2.7,2.3,High
32,Male,Moderate,Balanced,9.6,40,6.7,8.4,3.3,Low
38,Female,Moderate,Vegan,5.1,47,7.6,3.9,5.1,Moderate
27,Female,Moderate,Balanced,3.8,35,4.2,5.0,2.0,High
40,Male,High,Vegetarian,6.6,47,6.1,8.0,9.9,High
56,Male,Moderate,Keto,3.8,41,5.6,6.6,2.5,Low
22,Female,Low,Keto,8.4,38,5.2,3.8,8.0,High
18,Male,High,Balanced,5.2,20,7.3,4.5,8.5,High
30,Female,Low,Vegan,4.9,50,2.0,3.8,10.0,Low
38,Male,High,Keto,6.5,53,3.7,6.4,4.9,Moderate
43,Female,High,Balanced,5.9,59,5.2,4.0,8.9,Moderate
62,Other,High,Vegan,6.9,25,3.1,7.5,9.6,Low
38,Female,High,Balanced,7.3,47,7.4,6.2,2.6,Moderate
35,Female,Low,Vegan,6.2,22,5.9,2.3,5.3,Moderate
54,Other,Moderate,Junk Food,4.8,50,4.9,3.8,1.5,Moderate
62,Male,Low,Vegan,7.6,35,6.9,3.0,6.6,High
49,Other,Moderate,Vegetarian,5.5,36,4.7,4.5,6.2,High
53,Female,Low,Junk Food,5.2,46,5.4,5.6,2.8,High
34,Male,High,Balanced,6.7,43,2.0,5.6,8.2,Moderate
52,Other,High,Junk Food,3.6,39,4.2,7.8,1.3,High
28,Male,Moderate,Junk Food,7.1,51,2.8,2.7,8.3,Moderate
38,Male,Moderate,Balanced,6.8,54,6.1,9.5,1.2,Low
43,Other,Low,Balanced,8.2,32,4.9,4.1,6.9,Moderate
21,Male,Moderate,Vegetarian,5.7,39,3.8,3.7,1.7,High
51,Other,Low,Balanced,8.5,21,4.8,7.2,3.3,Moderate
35,Female,Moderate,Keto,7.3,23,3.3,8.2,7.5,High
57,Male,Moderate,Keto,6.5,46,7.6,4.4,3.5,High
52,Female,Moderate,Vegetarian,9.2,44,2.3,7.7,5.6,Low
58,Female,High,Vegan,6.6,23,7.2,9.0,9.2,Low
46,Male,High,Vegan,5.7,51,5.1,7.9,1.4,High
46,Other,Low,Keto,6.7,36,5.7,1.3,8.3,Moderate
55,Male,Moderate,Balanced,5.7,20,3.8,8.4,1.6,Low
59,Female,Low,Vegetarian,7.1,52,7.8,8.0,2.1,Low
38,Female,Moderate,Vegan,8.5,49,3.7,7.0,2.1,High
59,Other,High,Vegan,6.5,24,5.5,7.8,9.9,Moderate
30,Male,High,Junk Food,6.6,31,8.0,9.8,2.6,Low
58,Female,Moderate,Keto,7.7,57,7.3,4.9,9.1,Low
34,Female,Moderate,Balanced,8.3,51,5.2,1.6,9.9,Moderate
26,Female,High,Vegetarian,5.8,57,7.9,5.1,4.5,Low
58,Other,High,Vegan,6.8,36,6.2,1.4,6.7,Moderate
18,Female,Low,Junk Food,7.7,59,3.3,3.6,8.0,High
19,Female,High,Keto,7.0,51,4.4,6.3,4.5,Low
46,Male,Moderate,Keto,3.7,43,4.0,3.8,2.5,High
50,Male,Low,Vegetarian,8.0,31,4.1,7.2,4.9,Moderate
27,Female,Moderate,Vegan,7.3,50,6.6,8.4,7.9,High
57,Female,Low,Vegetarian,7.4,38,5.5,4.8,8.0,High
38,Male,Moderate,Vegetarian,4.7,48,2.2,9.1,3.1,High
45,Other,High,Junk Food,6.7,40,7.3,1.7,2.6,Moderate
28,Other,Moderate,Keto,7.8,45,3.8,8.6,9.3,Moderate
51,Other,Low,Balanced,5.2,47,8.0,8.5,1.4,Moderate
25,Other,Moderate,Keto,5.6,36,7.7,3.9,7.6,Moderate
39,Other,Low,Keto,7.8,28,7.6,3.7,1.4,Moderate
25,Other,Moderate,Junk Food,5.5,40,6.9,3.7,8.5,Low
32,Other,High,Balanced,6.2,53,3.3,8.3,9.1,Low
34,Other,High,Vegan,4.9,30,5.2,8.5,3.7,Low
40,Male,Moderate,Balanced,9.2,39,3.3,4.0,1.7,High
41,Other,Moderate,Vegan,7.3,58,3.6,6.3,5.3,High
62,Other,Moderate,Balanced,6.1,35,5.7,2.3,3.7,Moderate
36,Other,Low,Vegetarian,5.8,48,2.2,5.2,4.8,Moderate
22,Female,Moderate,Balanced,4.7,20,7.8,10.0,7.0,Low
49,Male,Moderate,Junk Food,6.3,37,7.5,2.4,2.9,Moderate
61,Male,Low,Vegan,7.5,41,4.3,9.5,4.2,High
18,Male,High,Keto,5.3,27,5.1,8.4,8.0,Moderate
40,Other,Moderate,Junk Food,6.7,26,4.8,9.7,6.8,Low
54,Other,Moderate,Vegan,5.9,44,7.3,2.6,3.9,Moderate
25,Female,High,Vegan,8.6,49,6.1,2.9,7.0,High
30,Male,High,Keto,5.5,53,3.7,1.2,7.9,Low
25,Other,Low,Vegetarian,7.7,30,4.7,7.5,6.3,Moderate
40,Male,Moderate,Junk Food,8.6,34,4.6,6.8,3.2,High
60,Female,Moderate,Keto,5.9,54,7.8,2.6,1.0,Low
18,Female,Low,Keto,5.6,42,3.1,8.1,8.2,Low
62,Female,High,Vegetarian,7.9,40,2.5,3.7,8.4,High
41,Male,Low,Junk Food,3.8,47,7.3,2.2,7.3,Moderate
52,Other,High,Keto,7.1,32,7.4,4.8,1.7,Moderate
41,Other,Low,Vegetarian,4.1,53,7.2,1.8,6.3,Moderate
34,Female,High,Junk Food,8.3,57,5.1,3.4,8.4,Low
22,Other,Low,Balanced,6.1,25,6.0,4.3,4.5,Low
37,Female,High,Vegan,6.4,23,5.4,8.7,2.8,Moderate
38,Male,High,Vegetarian,5.4,24,2.4,8.1,6.3,Low
57,Female,High,Vegan,4.1,59,5.6,5.0,8.4,Low
48,Male,High,Balanced,8.4,25,2.1,7.5,1.4,High
63,Female,High,Keto,6.2,40,3.9,6.1,6.4,Moderate
53,Other,Moderate,Keto,11.3,47,7.6,4.1,6.8,Moderate
28,Other,High,Junk Food,5.3,22,3.8,7.5,6.4,Moderate
32,Female,Moderate,Vegetarian,5.5,42,7.6,7.2,6.9,Low
36,Other,High,Vegetarian,5.2,27,3.5,6.6,6.7,Low
24,Other,Moderate,Junk Food,6.2,38,3.9,6.6,2.2,Low
45,Other,Moderate,Vegan,8.9,30,5.8,7.1,3.1,Moderate
60,Male,Low,Keto,8.0,29,6.6,4.5,6.6,Low
22,Other,High,Keto,4.2,47,5.0,8.8,1.2,Moderate
22,Male,Low,Vegetarian,8.3,39,7.3,2.5,6.7,Low
47,Female,Low,Vegetarian,7.5,47,2.2,9.0,7.0,Moderate
49,Other,High,Junk Food,7.2,48,7.5,4.1,3.2,High
25,Other,Low,Balanced,5.5,27,3.2,2.1,6.4,Low
27,Other,High,Vegan,5.6,38,7.3,6.4,5.8,Moderate
55,Female,Low,Balanced,6.7,40,4.4,4.4,3.3,High
64,Male,High,Balanced,5.7,37,7.0,8.3,5.2,High
49,Male,High,Vegetarian,8.5,28,6.0,4.9,9.2,Low
45,Other,High,Vegetarian,5.6,23,3.1,7.0,4.8,Moderate
34,Female,Moderate,Vegetarian,3.6,44,7.5,3.8,6.7,Low
48,Female,Low,Balanced,4.5,53,3.5,2.9,1.3,High
25,Female,Moderate,Vegan,4.6,28,3.5,4.5,1.7,Low
57,Female,Low,Vegetarian,6.1,28,6.9,6.5,1.7,Moderate
42,Female,Low,Keto,6.8,37,2.6,6.9,8.0,High
26,Male,Low,Vegan,6.6,30,3.3,6.2,4.2,Low
19,Male,Moderate,Keto,7.2,32,5.0,9.9,3.0,Low
32,Male,Low,Vegan,6.1,57,7.0,7.2,7.7,Low
20,Other,Moderate,Vegetarian,6.2,28,2.9,9.4,2.5,Low
53,Female,High,Junk Food,9.1,35,5.3,2.1,3.2,Low
21,Other,Low,Vegetarian,8.3,23,6.3,1.6,4.9,High
31,Female,Low,Balanced,7.1,53,7.2,3.8,4.0,High
58,Male,High,Balanced,7.9,26,7.6,2.2,6.3,Moderate
58,Other,High,Vegan,3.6,34,6.7,5.7,4.0,Low
42,Male,Low,Balanced,5.3,57,5.9,5.7,4.5,Moderate
27,Female,High,Vegetarian,5.9,30,4.6,6.2,8.8,High
38,Female,Moderate,Keto,5.3,51,2.7,7.7,9.0,Low
53,Female,Moderate,Vegetarian,4.2,46,6.3,9.7,8.4,Moderate
29,Male,Low,Vegan,7.1,49,8.0,8.9,8.8,Low
44,Female,Moderate,Balanced,8.6,36,6.4,2.1,6.1,Low
57,Male,Moderate,Keto,6.5,55,2.1,4.0,6.8,Moderate
19,Other,Low,Junk Food,7.5,38,5.0,3.3,6.0,High
30,Female,High,Keto,6.4,26,5.7,2.6,8.1,Moderate
49,Female,Low,Keto,5.8,40,6.1,5.9,6.0,Moderate
48,Female,Moderate,Vegetarian,7.9,47,6.3,6.0,2.0,Moderate
33,Other,Low,Junk Food,4.4,22,5.3,3.0,8.3,Low
49,Female,Low,Vegan,3.7,33,3.3,7.4,7.8,High
49,Male,Moderate,Vegan,4.3,21,7.7,7.6,8.4,High
51,Male,Moderate,Keto,7.8,48,6.2,1.2,2.7,Low
28,Female,Low,Keto,6.6,37,3.4,4.6,3.4,High
27,Female,Moderate,Balanced,7.1,56,3.9,9.0,3.7,Moderate
32,Other,Moderate,Junk Food,9.0,43,7.5,5.7,5.6,High
34,Other,Moderate,Keto,4.8,31,7.3,4.1,2.2,Low
57,Other,Moderate,Balanced,8.3,51,4.4,3.3,4.5,High
35,Female,Moderate,Junk Food,5.9,37,2.2,3.2,2.6,Low
26,Other,Moderate,Vegan,5.7,32,2.3,1.9,3.4,Moderate
42,Other,High,Balanced,6.6,23,3.7,8.4,7.4,Low
57,Male,Low,Junk Food,6.9,42,5.8,1.8,8.7,High
31,Other,Moderate,Balanced,6.2,29,5.5,3.6,1.2,Moderate
42,Male,Low,Keto,7.4,24,5.8,1.4,6.1,High
39,Male,High,Vegetarian,6.6,59,6.3,8.0,1.3,Low
47,Other,Moderate,Vegan,6.2,33,2.1,1.4,1.8,Moderate
37,Male,Low,Keto,5.9,53,2.6,3.8,7.3,Low
38,Female,Moderate,Keto,6.9,47,4.2,6.2,7.6,High
61,Female,Moderate,Junk Food,4.5,27,2.9,4.7,8.3,Low
49,Other,Moderate,Balanced,4.9,35,2.5,3.5,5.3,High
63,Female,Moderate,Vegan,5.9,50,5.8,3.5,8.7,High
38,Male,Moderate,Keto,7.3,26,6.9,8.2,2.5,Moderate
52,Female,Moderate,Junk Food,9.7,22,6.5,9.8,3.2,Moderate
49,Other,Moderate,Vegan,6.3,48,6.9,4.1,2.2,Low
47,Other,High,Balanced,3.8,55,6.0,1.4,8.2,High
56,Male,High,Keto,5.3,58,6.4,1.3,3.1,High
29,Other,Moderate,Keto,7.5,23,3.6,7.8,2.4,Moderate
58,Female,Moderate,Keto,5.0,28,8.0,6.0,6.6,Moderate
64,Other,High,Vegan,4.5,36,3.1,8.1,1.7,Moderate
35,Male,High,Vegan,7.5,39,3.3,7.3,1.4,Moderate
38,Other,High,Vegan,7.2,33,3.7,9.2,2.0,Low
30,Female,Moderate,Vegan,4.3,48,7.9,9.0,1.0,Low
38,Male,Low,Junk Food,5.2,32,7.9,8.1,7.3,Low
25,Female,Low,Vegetarian,8.4,55,6.8,5.3,6.1,Low
63,Male,Low,Junk Food,7.8,36,5.8,3.8,2.9,Moderate
57,Other,Low,Keto,4.7,23,5.1,5.6,3.1,Low
63,Male,Moderate,Junk Food,3.5,39,7.8,5.5,8.3,Low
24,Male,Low,Balanced,6.9,30,6.2,6.5,5.5,Low
40,Other,High,Vegan,6.1,41,7.7,2.7,7.3,Moderate
61,Female,High,Balanced,6.8,27,3.9,6.9,5.1,High
49,Other,Low,Balanced,7.5,47,4.0,5.1,3.1,Moderate
28,Male,High,Keto,5.1,49,7.1,6.6,9.7,High
39,Other,Moderate,Vegan,5.9,52,2.9,3.2,6.1,High
39,Male,Low,Balanced,5.2,52,7.7,4.9,2.2,Low
60,Other,Low,Keto,5.2,55,5.0,2.9,4.7,Low
42,Other,Moderate,Vegan,7.3,46,7.6,8.9,4.0,Low
39,Female,High,Vegetarian,6.7,39,4.0,5.4,2.9,Moderate
45,Male,Moderate,Keto,4.2,52,6.3,3.0,9.4,Moderate
46,Female,Moderate,Junk Food,7.6,44,4.9,1.4,8.9,Low
30,Male,High,Vegan,6.0,38,5.8,7.1,2.8,Moderate
35,Other,Moderate,Balanced,7.7,40,5.0,2.9,4.2,Moderate
19,Male,High,Balanced,5.0,52,7.8,9.9,7.9,High
46,Female,High,Junk Food,5.1,22,6.2,5.8,2.9,Moderate
38,Female,Moderate,Junk Food,6.9,33,3.5,3.6,6.3,High
32,Female,High,Balanced,4.9,34,7.5,6.9,7.3,Low
44,Male,Moderate,Vegan,6.1,52,3.8,3.5,6.9,Moderate
48,Female,High,Keto,4.7,41,4.2,8.4,7.4,High
32,Female,Low,Junk Food,5.9,20,2.6,3.8,7.4,Moderate
40,Female,High,Junk Food,6.5,50,7.4,9.9,9.7,High
41,Other,High,Junk Food,6.5,54,3.7,6.4,4.1,High
61,Other,Moderate,Vegetarian,6.0,39,3.6,8.6,8.9,Moderate
30,Male,High,Vegan,7.0,51,7.5,1.7,1.2,Low
39,Male,Low,Vegan,6.7,31,6.8,4.1,3.6,High
60,Female,Low,Vegan,6.4,35,2.8,7.6,1.4,Low
54,Other,High,Vegan,5.6,27,6.6,6.9,6.9,Moderate
50,Female,High,Vegan,8.1,33,7.5,2.7,1.9,Moderate
20,Female,Low,Balanced,7.1,37,2.5,4.2,8.6,Low
36,Other,Moderate,Junk Food,4.9,49,7.0,3.4,6.8,Moderate
40,Other,Low,Balanced,7.5,52,5.3,6.5,1.3,High
46,Other,Low,Vegetarian,7.8,53,6.0,4.1,7.4,Low
47,Male,High,Keto,6.4,53,5.0,3.8,8.8,Moderate
56,Male,High,Junk Food,6.5,26,6.2,2.9,7.0,Moderate
61,Female,Low,Vegetarian,3.4,25,2.2,4.7,1.3,Low
64,Male,Moderate,Balanced,5.2,25,6.6,2.8,8.7,High
42,Other,Low,Keto,7.8,41,2.2,9.7,7.6,Low
54,Other,Low,Vegetarian,5.3,27,4.7,2.4,4.4,Moderate
64,Male,Moderate,Keto,6.3,56,2.9,9.2,4.0,Moderate
25,Female,Low,Vegetarian,5.2,34,6.9,4.9,5.3,Low
59,Female,Low,Balanced,6.8,45,3.9,4.4,8.8,High
33,Male,High,Keto,7.1,58,4.7,3.1,3.3,High
25,Female,Moderate,Vegetarian,7.1,22,4.6,6.7,1.9,High
18,Female,High,Balanced,4.8,29,6.6,7.2,8.8,Low
61,Female,High,Junk Food,6.7,22,4.9,5.2,1.2,High
22,Other,Moderate,Balanced,8.9,49,6.7,1.5,9.2,High
20,Other,Moderate,Balanced,7.6,41,2.4,9.3,3.8,High
18,Male,Low,Junk Food,6.6,22,3.1,9.8,5.6,High
21,Other,High,Balanced,3.6,20,5.3,4.9,2.2,Moderate
57,Female,Moderate,Junk Food,6.1,52,7.7,6.5,9.1,Low
52,Other,High,Junk Food,9.0,38,2.4,5.1,7.7,Low
49,Male,High,Junk Food,8.5,55,2.3,3.9,9.3,High
59,Other,Moderate,Vegetarian,7.2,53,2.9,1.7,7.1,Low
51,Female,Low,Keto,5.4,50,5.8,5.1,2.7,Low
60,Female,High,Vegetarian,6.6,43,4.4,8.4,3.8,Moderate
42,Male,Moderate,Junk Food,7.7,31,7.0,1.2,5.4,Low
27,Other,Low,Keto,7.9,32,2.4,6.2,6.5,Moderate
38,Other,High,Keto,7.0,35,3.2,8.9,9.3,Low
63,Other,Moderate,Junk Food,7.8,35,3.8,3.0,4.5,Moderate
56,Female,High,Keto,6.4,39,5.8,2.6,7.3,Moderate
44,Male,Moderate,Keto,6.3,46,6.1,8.0,9.6,Low
44,Other,Moderate,Vegetarian,5.8,58,2.7,3.3,2.4,Moderate
19,Female,High,Keto,7.1,32,7.7,2.7,8.8,Moderate
58,Female,High,Junk Food,8.0,23,4.0,4.4,4.8,Low
30,Female,Moderate,Vegan,7.6,51,6.3,4.5,7.6,Moderate
26,Other,Low,Vegan,4.7,59,5.1,8.9,3.6,Moderate
53,Other,High,Vegan,4.8,53,3.3,6.6,4.0,Moderate
39,Other,Moderate,Junk Food,8.2,58,7.1,4.7,1.2,Moderate
59,Other,Moderate,Vegan,6.8,36,6.9,5.8,9.7,Moderate
43,Other,Low,Vegetarian,6.8,43,4.4,9.6,8.3,High
29,Other,Low,Junk Food,6.8,48,5.5,2.0,1.8,Moderate
34,Other,Low,Junk Food,9.1,47,3.5,2.9,10.0,Moderate
31,Other,High,Junk Food,5.8,41,6.1,9.7,6.4,Moderate
31,Other,Moderate,Keto,8.2,47,3.9,9.6,8.7,Moderate
51,Female,Moderate,Keto,6.9,44,7.1,2.6,1.6,Low
37,Other,Moderate,Keto,4.1,22,3.3,2.3,4.5,High
28,Male,Low,Balanced,5.3,32,2.1,4.8,7.0,Low
33,Female,Moderate,Vegetarian,5.6,50,3.6,1.4,2.0,High
48,Other,High,Junk Food,8.1,32,3.1,6.9,5.4,Moderate
23,Male,Low,Junk Food,8.3,37,5.0,1.7,5.0,Moderate
36,Other,Low,Keto,7.0,56,3.2,1.5,2.9,High
54,Male,Low,Junk Food,5.7,53,6.6,5.4,3.7,High
21,Male,Low,Junk Food,5.1,36,3.4,9.6,9.7,Low
64,Male,High,Vegan,8.2,40,6.2,4.8,3.6,High
21,Male,Moderate,Junk Food,4.6,55,5.5,4.2,2.9,Moderate
37,Female,High,Balanced,6.3,59,7.9,10.0,5.8,Low
27,Female,Moderate,Keto,10.0,38,8.0,5.8,7.0,High
41,Male,High,Vegetarian,5.7,31,7.2,4.4,7.5,High
52,Other,Low,Vegetarian,4.6,47,6.6,4.5,7.8,Low
43,Male,Low,Vegan,3.9,30,4.3,2.8,1.3,High
54,Female,High,Vegetarian,10.1,56,6.5,5.6,4.5,Moderate
55,Other,High,Vegetarian,7.0,47,7.7,4.9,8.0,Low
38,Female,Moderate,Keto,5.2,54,2.1,3.4,9.1,High
57,Female,High,Keto,6.2,34,5.2,2.4,6.4,Moderate
56,Other,High,Balanced,5.5,35,3.3,3.8,1.5,High
38,Male,Moderate,Vegan,3.7,26,5.3,5.6,4.6,Low
27,Male,Moderate,Vegetarian,7.7,22,4.8,1.5,1.7,High
55,Male,Moderate,Balanced,6.6,50,5.5,2.4,7.7,High
63,Male,High,Vegan,7.6,31,5.3,9.5,1.6,High
21,Other,Moderate,Vegetarian,6.5,27,7.8,5.9,2.7,Moderate
62,Other,Low,Vegetarian,6.7,44,5.3,1.6,4.8,Moderate
37,Other,Low,Keto,3.1,54,7.1,7.2,5.2,High
34,Female,Low,Junk Food,7.9,31,3.9,1.6,4.7,High
24,Other,High,Vegan,4.9,40,4.6,7.6,5.2,Low
21,Male,Low,Vegetarian,5.3,45,4.8,7.7,7.4,High
46,Female,High,Vegan,5.7,21,3.7,6.9,4.3,Low
31,Male,High,Balanced,3.4,33,4.3,7.6,5.9,Moderate
20,Male,Low,Balanced,5.6,23,5.6,1.8,3.7,High
41,Other,Moderate,Junk Food,5.5,36,5.5,7.5,4.2,Low
54,Other,High,Vegetarian,5.9,24,5.8,2.2,6.5,Moderate
33,Male,Low,Keto,3.9,43,4.1,4.1,5.4,Low
21,Male,High,Vegetarian,7.9,26,3.9,9.5,7.5,Moderate
41,Female,Moderate,Vegan,7.1,42,5.7,5.5,6.0,High
51,Other,Moderate,Balanced,5.2,36,2.8,9.7,8.2,Low
47,Female,Low,Vegan,5.6,31,3.5,1.8,5.0,High
35,Female,High,Junk Food,7.8,30,2.3,5.3,5.4,Low
36,Female,High,Balanced,6.1,30,2.4,1.6,7.0,Moderate
48,Male,High,Keto,4.6,53,3.5,6.7,3.0,Low
36,Female,High,Balanced,6.4,56,2.1,1.7,4.5,Low
63,Female,Low,Vegetarian,4.9,48,3.5,2.6,6.6,High
36,Male,Moderate,Vegetarian,5.4,55,5.9,3.3,1.3,High
39,Other,Low,Balanced,6.4,46,2.4,7.7,4.9,High
41,Other,High,Junk Food,8.1,41,4.6,2.5,6.4,Moderate
62,Female,High,Vegetarian,9.5,21,7.5,8.6,9.7,High
29,Male,Moderate,Vegetarian,8.5,55,6.7,2.2,8.9,Low
47,Other,High,Keto,6.4,49,3.8,1.3,3.5,Moderate
55,Female,Low,Balanced,9.9,26,7.5,4.6,5.6,High
48,Female,Low,Vegetarian,7.3,31,4.0,9.8,1.5,Low
53,Male,Moderate,Junk Food,5.0,22,2.4,2.0,3.2,Low
36,Female,Low,Vegan,6.6,36,8.0,1.9,8.0,Moderate
62,Other,Low,Balanced,5.5,51,7.2,7.8,2.1,Low
53,Male,Low,Keto,4.6,27,4.8,3.8,3.3,High
47,Other,Low,Vegetarian,4.7,42,6.0,7.5,9.5,Low
50,Other,High,Junk Food,6.3,57,6.0,2.8,8.4,High
35,Other,Low,Balanced,7.6,49,3.2,5.1,8.0,High
45,Female,Moderate,Junk Food,8.1,34,3.2,3.4,8.8,Moderate
64,Female,Moderate,Junk Food,4.6,29,4.8,5.1,7.7,Low
28,Other,Low,Keto,6.0,57,7.5,7.9,2.1,Moderate
62,Other,Moderate,Balanced,7.2,34,2.1,7.9,5.6,Moderate
50,Male,Low,Vegetarian,6.7,49,6.7,5.6,5.0,Moderate
34,Male,Moderate,Keto,7.5,45,2.3,9.4,3.8,High
23,Female,Moderate,Vegetarian,5.8,33,4.9,3.4,8.5,High
21,Female,Low,Vegan,8.4,22,5.8,3.2,5.2,High
37,Male,Low,Junk Food,6.5,55,6.1,6.5,1.5,High
64,Other,High,Vegan,7.6,45,2.4,6.6,3.5,Low
44,Female,Low,Junk Food,5.9,33,4.5,1.4,3.1,Low
32,Other,Low,Keto,6.6,50,5.5,6.5,9.0,High
23,Male,High,Vegetarian,4.1,33,2.4,4.4,6.8,High
64,Female,Low,Vegetarian,5.2,59,2.8,7.7,6.0,Low
31,Female,Low,Keto,6.2,29,6.0,8.3,5.6,Moderate
28,Male,High,Balanced,6.7,28,5.1,6.0,6.9,Moderate
56,Female,Low,Vegan,10.5,59,3.0,1.0,7.8,High
26,Male,Low,Vegan,5.9,37,5.2,6.7,6.0,Moderate
43,Female,High,Vegetarian,4.4,55,7.5,7.7,9.4,High
33,Male,High,Vegetarian,9.1,55,2.1,3.2,9.8,High
22,Female,Moderate,Vegetarian,8.1,31,5.9,5.2,10.0,High
27,Other,Low,Keto,4.8,59,2.4,9.7,7.0,Low
20,Other,Moderate,Balanced,7.2,22,2.0,3.7,9.4,Moderate
30,Other,Moderate,Vegan,7.8,37,2.9,3.0,4.6,Low
60,Female,High,Junk Food,6.7,26,4.5,2.9,8.7,Moderate
47,Female,Low,Keto,7.0,50,6.8,6.0,9.2,Low
62,Other,Low,Vegan,5.6,20,3.7,9.5,9.1,Low
23,Other,High,Balanced,7.3,50,5.8,6.5,8.5,High
34,Male,Moderate,Keto,5.8,32,4.5,3.7,4.7,High
62,Male,High,Vegan,2.5,48,3.4,6.7,2.4,Low
36,Male,Low,Keto,6.8,22,5.1,6.6,4.0,Moderate
59,Other,High,Vegan,4.0,48,6.8,6.4,7.9,Moderate
52,Other,Low,Vegan,8.0,54,7.0,2.4,3.1,High
63,Other,Moderate,Balanced,4.8,34,7.1,6.7,5.3,High
43,Male,Low,Junk Food,2.8,40,4.0,4.9,6.1,Moderate
22,Female,Moderate,Balanced,3.8,38,6.8,1.2,6.4,Moderate
